"","Incident.Number","CalendarYear","Month","IncDate","Call_Type","Problem","ResponseArea","Jurisdiction","PriorityDescription","Council_District","Location","Date","dateDay","month","day","season","Fire_Type"
"12682",23134058,2023,"Sep","09/25/2023 12:00:00 AM","Fire","BBQ - Unsafe Cooking","00-3611","AFD","4F","2","(-97.775788,30.179380)",2023-09-25,"09-25",9,25,"Fall","BBQ"
"12683",23134074,2023,"Sep","09/25/2023 12:00:00 AM","Fire","GRASS - Small Grass Fire","00-1803","AFD","3F","4","(-97.705534,30.310085)",2023-09-25,"09-25",9,25,"Fall","GRASS"
"12684",23134099,2023,"Sep","09/25/2023 12:00:00 AM","Fire","GRASS - Small Grass Fire","00-5106","AFD","3F","5","(-97.799027,30.232780)",2023-09-25,"09-25",9,25,"Fall","GRASS"
"12685",23134104,2023,"Sep","09/25/2023 12:00:00 AM","Fire","DUMP - Dumpster Fire","00-0102","AFD","3F","9","(-97.748255,30.270075)",2023-09-25,"09-25",9,25,"Fall","DUMP"
"12686",23134136,2023,"Sep","09/25/2023 12:00:00 AM","Fire","TRASH - Trash Fire","00-0604","AFD","3F","9","(-97.753885,30.258947)",2023-09-25,"09-25",9,25,"Fall","TRASH"
"12687",23134160,2023,"Sep","09/26/2023 12:00:00 AM","Fire","TRASH - Trash Fire","00-2305","AFD","3F","4","(-97.701985,30.341120)",2023-09-26,"09-26",9,26,"Fall","TRASH"
"12688",23134186,2023,"Sep","09/26/2023 12:00:00 AM","Fire","TRASH - Trash Fire","00-3005","AFD","3F","4","(-97.688655,30.375398)",2023-09-26,"09-26",9,26,"Fall","TRASH"
"12689",23134199,2023,"Sep","09/26/2023 12:00:00 AM","Fire","TRASH - Trash Fire","00-0501","AFD","3F","3","(-97.695509,30.265610)",2023-09-26,"09-26",9,26,"Fall","TRASH"
"12690",23134211,2023,"Sep","09/26/2023 12:00:00 AM","Fire","TRASH - Trash Fire","00-2202","AFD","3F","3","(-97.723448,30.233627)",2023-09-26,"09-26",9,26,"Fall","TRASH"
"12691",23134249,2023,"Sep","09/26/2023 12:00:00 AM","Fire","AUTO - Auto Fire","00-2303","AFD","2F","1","(-97.673424,30.326517)",2023-09-26,"09-26",9,26,"Fall","AUTO"
"12692",23134286,2023,"Sep","09/26/2023 12:00:00 AM","Fire","BOX -Structure Fire","00-1709","AFD","1F","3","(-97.767383,30.206505)",2023-09-26,"09-26",9,26,"Fall","BOX"
"12693",23134369,2023,"Sep","09/26/2023 12:00:00 AM","Fire","AUTO - Auto Fire","00-0101","AFD","2F","9","(-97.736767,30.261230)",2023-09-26,"09-26",9,26,"Fall","AUTO"
"12694",23134394,2023,"Sep","09/26/2023 12:00:00 AM","Fire","AUTO - Auto Fire","00-0807","AFD","2F","7","(-97.733074,30.395253)",2023-09-26,"09-26",9,26,"Fall","AUTO"
"12695",23134414,2023,"Sep","09/26/2023 12:00:00 AM","Fire","AUTO - Auto Fire","00-2903","AFD","2F","5","(-97.843237,30.193708)",2023-09-26,"09-26",9,26,"Fall","AUTO"
"12696",23134455,2023,"Sep","09/26/2023 12:00:00 AM","Fire","BOXS - Still Box Alarm","00-1401","AFD","1F","9","(-97.696187,30.294423)",2023-09-26,"09-26",9,26,"Fall","BOXS"
"12697",23134471,2023,"Sep","09/26/2023 12:00:00 AM","Fire","GRASS - Small Grass Fire","00-2705","AFD","3F","8","(-97.845883,30.216926)",2023-09-26,"09-26",9,26,"Fall","GRASS"
"12698",23134485,2023,"Sep","09/26/2023 12:00:00 AM","Fire","BOX -Structure Fire","00-2406","AFD","1F","2","(-97.763038,30.152004)",2023-09-26,"09-26",9,26,"Fall","BOX"
"12699",23134493,2023,"Sep","09/26/2023 12:00:00 AM","Fire","BOXS - Still Box Alarm","00-3001","AFD","1F","4","(-97.696137,30.371737)",2023-09-26,"09-26",9,26,"Fall","BOXS"
"12700",23134516,2023,"Sep","09/26/2023 12:00:00 AM","Fire","TRASH - Trash Fire","00-0701","AFD","3F","3","(-97.728666,30.258518)",2023-09-26,"09-26",9,26,"Fall","TRASH"
"12701",23134531,2023,"Sep","09/26/2023 12:00:00 AM","Fire","TRASH - Trash Fire","00-2002","AFD","3F","5","(-97.831857,30.211339)",2023-09-26,"09-26",9,26,"Fall","TRASH"
"12702",23134538,2023,"Sep","09/26/2023 12:00:00 AM","Fire","TRASH - Trash Fire","00-2303","AFD","3F","1","(-97.680277,30.341322)",2023-09-26,"09-26",9,26,"Fall","TRASH"
"12703",23134549,2023,"Sep","09/26/2023 12:00:00 AM","Fire","ELEC - Electrical Fire","00-1705","AFD","3F","5","(-97.790333,30.231444)",2023-09-26,"09-26",9,26,"Fall","ELEC"
"12704",23134576,2023,"Sep","09/26/2023 12:00:00 AM","Fire","TRASH - Trash Fire","00-0601","AFD","3F","9","(-97.743481,30.248292)",2023-09-26,"09-26",9,26,"Fall","TRASH"
"12705",23134577,2023,"Sep","09/26/2023 12:00:00 AM","Fire","DUMP - Dumpster Fire","00-3402","AFD","3F","6","(-97.794948,30.463082)",2023-09-26,"09-26",9,26,"Fall","DUMP"
"12706",23134578,2023,"Sep","09/26/2023 12:00:00 AM","Fire","DUMP - Dumpster Fire","00-3801","AFD","3F","6","(-97.780078,30.439546)",2023-09-26,"09-26",9,26,"Fall","DUMP"
"12707",23134600,2023,"Sep","09/27/2023 12:00:00 AM","Fire","TRASH - Trash Fire","00-1706","AFD","3F","3","(-97.766780,30.230764)",2023-09-27,"09-27",9,27,"Fall","TRASH"
"12708",23134640,2023,"Sep","09/27/2023 12:00:00 AM","Fire","BOX -Structure Fire","00-1707","AFD","1F","3","(-97.756539,30.227560)",2023-09-27,"09-27",9,27,"Fall","BOX"
"12709",23134783,2023,"Sep","09/27/2023 12:00:00 AM","Fire","BOX -Structure Fire","00-2104","AFD","1F","10","(-97.744835,30.378465)",2023-09-27,"09-27",9,27,"Fall","BOX"
"12710",23134843,2023,"Sep","09/27/2023 12:00:00 AM","Fire","DUMP - Dumpster Fire","00-1707","AFD","3F","3","(-97.756039,30.219319)",2023-09-27,"09-27",9,27,"Fall","DUMP"
"12711",23134898,2023,"Sep","09/27/2023 12:00:00 AM","Fire","BOXS - Still Box Alarm","00-1801","AFD","1F","1","(-97.667164,30.310064)",2023-09-27,"09-27",9,27,"Fall","BOXS"
"12712",23134915,2023,"Sep","09/27/2023 12:00:00 AM","Fire","TRASH - Trash Fire","00-2204","AFD","3F","3","(-97.706340,30.230106)",2023-09-27,"09-27",9,27,"Fall","TRASH"
"12713",23134924,2023,"Sep","09/27/2023 12:00:00 AM","Fire","TRASH - Trash Fire","00-1708","AFD","3F","3","(-97.756142,30.218466)",2023-09-27,"09-27",9,27,"Fall","TRASH"
"12714",23135032,2023,"Sep","09/28/2023 12:00:00 AM","Fire","ELEC - Electrical Fire","00-3801","AFD","3F","6","(-97.796443,30.436111)",2023-09-28,"09-28",9,28,"Fall","ELEC"
"12715",23135065,2023,"Sep","09/28/2023 12:00:00 AM","Fire","TRASH - Trash Fire","00-3611","AFD","3F","2","(-97.782595,30.168336)",2023-09-28,"09-28",9,28,"Fall","TRASH"
"12716",23135073,2023,"Sep","09/28/2023 12:00:00 AM","Fire","TRASH - Trash Fire","00-2202","AFD","3F","9","(-97.737867,30.235132)",2023-09-28,"09-28",9,28,"Fall","TRASH"
"12717",23135081,2023,"Sep","09/28/2023 12:00:00 AM","Fire","TRASH - Trash Fire","00-2204","AFD","3F","3","(-97.706340,30.230106)",2023-09-28,"09-28",9,28,"Fall","TRASH"
"12718",23135307,2023,"Sep","09/28/2023 12:00:00 AM","Fire","BOXS - Still Box Alarm","00-3701","AFD","1F","8","(-97.877797,30.256561)",2023-09-28,"09-28",9,28,"Fall","BOXS"
"12719",23135315,2023,"Sep","09/28/2023 12:00:00 AM","Fire","TRASH - Trash Fire","00-3005","AFD","3F","4","(-97.692406,30.371147)",2023-09-28,"09-28",9,28,"Fall","TRASH"
"12720",23135329,2023,"Sep","09/28/2023 12:00:00 AM","Fire","ELEC - Electrical Fire","00-2501","AFD","3F","6","(-97.758027,30.437712)",2023-09-28,"09-28",9,28,"Fall","ELEC"
"12721",23135347,2023,"Sep","09/28/2023 12:00:00 AM","Fire","BOXS - Still Box Alarm","00-3912","AFD","1F","6","(-97.868691,30.352131)",2023-09-28,"09-28",9,28,"Fall","BOXS"
"12722",23135364,2023,"Sep","09/28/2023 12:00:00 AM","Fire","GRASS - Small Grass Fire","00-1206","AFD","3F","10","(-97.747824,30.307953)",2023-09-28,"09-28",9,28,"Fall","GRASS"
"12723",23135370,2023,"Sep","09/28/2023 12:00:00 AM","Fire","GRASS - Small Grass Fire","00-1206","AFD","3F","10","(-97.747506,30.307089)",2023-09-28,"09-28",9,28,"Fall","GRASS"
"12724",23135392,2023,"Sep","09/28/2023 12:00:00 AM","Fire","TRASH - Trash Fire","00-3001","AFD","3F","4","(-97.696602,30.365151)",2023-09-28,"09-28",9,28,"Fall","TRASH"
"12725",23135418,2023,"Sep","09/28/2023 12:00:00 AM","Fire","TRASH - Trash Fire","00-1101","AFD","3F","5","(-97.758459,30.260860)",2023-09-28,"09-28",9,28,"Fall","TRASH"
"12726",23135419,2023,"Sep","09/28/2023 12:00:00 AM","Fire","TRASH - Trash Fire","00-1101","AFD","3F","5","(-97.758459,30.260860)",2023-09-28,"09-28",9,28,"Fall","TRASH"
"12727",23135447,2023,"Sep","09/28/2023 12:00:00 AM","Fire","BOXS - Still Box Alarm","00-0303","AFD","1F","9","(-97.734316,30.299331)",2023-09-28,"09-28",9,28,"Fall","BOXS"
"12728",23135448,2023,"Sep","09/28/2023 12:00:00 AM","Fire","ELEC - Electrical Fire","00-2701","AFD","3F","8","(-97.864117,30.230675)",2023-09-28,"09-28",9,28,"Fall","ELEC"
"12729",23135498,2023,"Sep","09/28/2023 12:00:00 AM","Fire","DUMP - Dumpster Fire","00-2801","AFD","3F","7","(-97.677902,30.410463)",2023-09-28,"09-28",9,28,"Fall","DUMP"
"12730",23135526,2023,"Sep","09/29/2023 12:00:00 AM","Fire","GRASS - Small Grass Fire","00-3203","AFD","3F","8","(-97.782466,30.265062)",2023-09-29,"09-29",9,29,"Fall","GRASS"
"12731",23135558,2023,"Sep","09/29/2023 12:00:00 AM","Fire","GRASS - Small Grass Fire","00-1903","AFD","3F","10","(-97.771646,30.349688)",2023-09-29,"09-29",9,29,"Fall","GRASS"
"12732",23135653,2023,"Sep","09/29/2023 12:00:00 AM","Fire","ELEC - Electrical Fire","00-1606","AFD","3F","7","(-97.736533,30.356822)",2023-09-29,"09-29",9,29,"Fall","ELEC"
"12733",23135675,2023,"Sep","09/29/2023 12:00:00 AM","Fire","AUTO - Auto Fire","00-3303","AFD","2F","10","(-97.749767,30.394797)",2023-09-29,"09-29",9,29,"Fall","AUTO"
"12734",23135697,2023,"Sep","09/29/2023 12:00:00 AM","Fire","TRASH - Trash Fire","00-0102","AFD","3F","9","(-97.747480,30.264221)",2023-09-29,"09-29",9,29,"Fall","TRASH"
"12735",23135732,2023,"Sep","09/29/2023 12:00:00 AM","Fire","ELEC - Electrical Fire","00-2501","AFD","3F","10","(-97.751174,30.418261)",2023-09-29,"09-29",9,29,"Fall","ELEC"
"12736",23135761,2023,"Sep","09/29/2023 12:00:00 AM","Fire","BOX -Structure Fire","00-4101","AFD","1F","1","(-97.618802,30.356149)",2023-09-29,"09-29",9,29,"Fall","BOX"
"12737",23135792,2023,"Sep","09/29/2023 12:00:00 AM","Fire","BOX -Structure Fire","00-2301","AFD","1F","4","(-97.685163,30.359583)",2023-09-29,"09-29",9,29,"Fall","BOX"
"12738",23135796,2023,"Sep","09/29/2023 12:00:00 AM","Fire","TRASH - Trash Fire","00-1102","AFD","3F","5","(-97.782457,30.239454)",2023-09-29,"09-29",9,29,"Fall","TRASH"
"12739",23135857,2023,"Sep","09/29/2023 12:00:00 AM","Fire","BBQ - Unsafe Cooking","00-2101","AFD","4F","10","(-97.750907,30.356334)",2023-09-29,"09-29",9,29,"Fall","BBQ"
"12740",23135865,2023,"Sep","09/29/2023 12:00:00 AM","Fire","TRASH - Trash Fire","00-0202","AFD","3F","-","(-97.741201,30.279469)",2023-09-29,"09-29",9,29,"Fall","TRASH"
"12741",23135873,2023,"Sep","09/29/2023 12:00:00 AM","Fire","ELEC - Electrical Fire","00-0302","AFD","3F","9","(-97.754326,30.297166)",2023-09-29,"09-29",9,29,"Fall","ELEC"
"12742",23135893,2023,"Sep","09/29/2023 12:00:00 AM","Fire","AUTO - Auto Fire","00-0202","AFD","2F","9","(-97.748746,30.282542)",2023-09-29,"09-29",9,29,"Fall","AUTO"
"12743",23135902,2023,"Sep","09/29/2023 12:00:00 AM","Fire","BOXS - Still Box Alarm","00-4502","AFD","1F","6","(-97.771963,30.475591)",2023-09-29,"09-29",9,29,"Fall","BOXS"
"12744",23135929,2023,"Sep","09/29/2023 12:00:00 AM","Fire","AUTO - Auto Fire","00-2606","AFD","2F","1","(-97.660351,30.302548)",2023-09-29,"09-29",9,29,"Fall","AUTO"
"12745",23135941,2023,"Sep","09/29/2023 12:00:00 AM","Fire","BOXS - Still Box Alarm","00-3404","AFD","1F","6","(-97.801031,30.485918)",2023-09-29,"09-29",9,29,"Fall","BOXS"
"12746",23135945,2023,"Sep","09/29/2023 12:00:00 AM","Fire","TRASH - Trash Fire","00-0401","AFD","3F","9","(-97.752092,30.269532)",2023-09-29,"09-29",9,29,"Fall","TRASH"
"12747",23135961,2023,"Sep","09/29/2023 12:00:00 AM","Fire","TRASH - Trash Fire","00-1705","AFD","3F","5","(-97.792139,30.236665)",2023-09-29,"09-29",9,29,"Fall","TRASH"
"12748",23135966,2023,"Sep","09/29/2023 12:00:00 AM","Fire","TRASH - Trash Fire","00-0901","AFD","3F","9","(-97.731744,30.308945)",2023-09-29,"09-29",9,29,"Fall","TRASH"
"12749",23135981,2023,"Sep","09/29/2023 12:00:00 AM","Fire","GRASS - Small Grass Fire","00-0802","AFD","3F","4","(-97.699213,30.359090)",2023-09-29,"09-29",9,29,"Fall","GRASS"
"12750",23136002,2023,"Sep","09/29/2023 12:00:00 AM","Fire","DUMP - Dumpster Fire","00-0201","AFD","3F","9","(-97.745054,30.284116)",2023-09-29,"09-29",9,29,"Fall","DUMP"
"12751",23136030,2023,"Sep","09/30/2023 12:00:00 AM","Fire","AUTO - Auto Fire","00-2303","AFD","2F","1","(-97.679647,30.329682)",2023-09-30,"09-30",9,30,"Fall","AUTO"
"12752",23136086,2023,"Sep","09/30/2023 12:00:00 AM","Fire","AUTO - Auto Fire","00-0501","AFD","2F","1","(-97.676542,30.278618)",2023-09-30,"09-30",9,30,"Fall","AUTO"
"12753",23136109,2023,"Sep","09/30/2023 12:00:00 AM","Fire","DUMP - Dumpster Fire","00-2203","AFD","3F","3","(-97.721288,30.236065)",2023-09-30,"09-30",9,30,"Fall","DUMP"
"12754",23136172,2023,"Sep","09/30/2023 12:00:00 AM","Fire","ELEC - Electrical Fire","00-1804","AFD","3F","4","(-97.699503,30.333705)",2023-09-30,"09-30",9,30,"Fall","ELEC"
"12755",23136187,2023,"Sep","09/30/2023 12:00:00 AM","Fire","DUMP - Dumpster Fire","00-2401","AFD","3F","2","(-97.739063,30.192929)",2023-09-30,"09-30",9,30,"Fall","DUMP"
"12756",23136243,2023,"Sep","09/30/2023 12:00:00 AM","Fire","GRASS - Small Grass Fire","00-0603","AFD","3F","9","(-97.762423,30.249525)",2023-09-30,"09-30",9,30,"Fall","GRASS"
"12757",23136248,2023,"Sep","09/30/2023 12:00:00 AM","Fire","BOXL- Structure Fire","00-3906","AFD","1F","6","(-97.845226,30.421362)",2023-09-30,"09-30",9,30,"Fall","BOXL"
"12758",23136282,2023,"Sep","09/30/2023 12:00:00 AM","Fire","ELEC - Electrical Fire","00-2301","AFD","3F","4","(-97.679479,30.356141)",2023-09-30,"09-30",9,30,"Fall","ELEC"
"12759",23136314,2023,"Sep","09/30/2023 12:00:00 AM","Fire","GRASS - Small Grass Fire","00-3611","AFD","3F","2","(-97.771573,30.188272)",2023-09-30,"09-30",9,30,"Fall","GRASS"
"12760",23136428,2023,"Sep","09/30/2023 12:00:00 AM","Fire","TRASH - Trash Fire","00-2204","AFD","3F","3","(-97.703833,30.227138)",2023-09-30,"09-30",9,30,"Fall","TRASH"
"12761",23136499,2023,"Oct","10/01/2023 12:00:00 AM","Fire","TRASH - Trash Fire","00-2201","AFD","3F","3","(-97.705902,30.226024)",2023-10-01,"10-01",10,1,"Fall","TRASH"
"12762",23136574,2023,"Oct","10/01/2023 12:00:00 AM","Fire","AUTO - Auto Fire","00-2402","AFD","2F","2","(-97.746466,30.209812)",2023-10-01,"10-01",10,1,"Fall","AUTO"
"12763",23136581,2023,"Oct","10/01/2023 12:00:00 AM","Fire","BBQ - Unsafe Cooking","00-3401","AFD","4F","6","(-97.787556,30.467138)",2023-10-01,"10-01",10,1,"Fall","BBQ"
"12764",23136582,2023,"Oct","10/01/2023 12:00:00 AM","Fire","TRASH - Trash Fire","00-3604","AFD","3F","5","(-97.800295,30.159456)",2023-10-01,"10-01",10,1,"Fall","TRASH"
"12765",23136646,2023,"Oct","10/01/2023 12:00:00 AM","Fire","GRASS - Small Grass Fire","00-2301","AFD","3F","1","(-97.675135,30.374225)",2023-10-01,"10-01",10,1,"Fall","GRASS"
"12766",23136674,2023,"Oct","10/01/2023 12:00:00 AM","Fire","DUMP - Dumpster Fire","00-2801","AFD","3F","7","(-97.688910,30.412827)",2023-10-01,"10-01",10,1,"Fall","DUMP"
"12767",23136711,2023,"Oct","10/01/2023 12:00:00 AM","Fire","GRASS - Small Grass Fire","00-3001","AFD","3F","4","(-97.707435,30.385103)",2023-10-01,"10-01",10,1,"Fall","GRASS"
"12768",23136719,2023,"Oct","10/01/2023 12:00:00 AM","Fire","TRASH - Trash Fire","00-1504","AFD","3F","1","(-97.711607,30.266336)",2023-10-01,"10-01",10,1,"Fall","TRASH"
"12769",23136794,2023,"Oct","10/01/2023 12:00:00 AM","Fire","TRASH - Trash Fire","00-1702","AFD","3F","3","(-97.779353,30.213077)",2023-10-01,"10-01",10,1,"Fall","TRASH"
"12770",23136796,2023,"Oct","10/01/2023 12:00:00 AM","Fire","GRASS - Small Grass Fire","00-3604","AFD","3F","5","(-97.799187,30.161043)",2023-10-01,"10-01",10,1,"Fall","GRASS"
"12771",23136811,2023,"Oct","10/01/2023 12:00:00 AM","Fire","TRASH - Trash Fire","00-2204","AFD","3F","3","(-97.706340,30.230106)",2023-10-01,"10-01",10,1,"Fall","TRASH"
"12772",23136818,2023,"Oct","10/01/2023 12:00:00 AM","Fire","TRASH - Trash Fire","00-5106","AFD","3F","5","(-97.791081,30.230855)",2023-10-01,"10-01",10,1,"Fall","TRASH"
"12773",23136819,2023,"Oct","10/01/2023 12:00:00 AM","Fire","TRASH - Trash Fire","00-1707","AFD","3F","3","(-97.759496,30.221116)",2023-10-01,"10-01",10,1,"Fall","TRASH"
"12774",23136873,2023,"Oct","10/01/2023 12:00:00 AM","Fire","TRASH - Trash Fire","00-3005","AFD","3F","4","(-97.687178,30.369890)",2023-10-01,"10-01",10,1,"Fall","TRASH"
"12775",23136935,2023,"Oct","10/02/2023 12:00:00 AM","Fire","TRASH - Trash Fire","00-4001","AFD","3F","7","(-97.673511,30.407978)",2023-10-02,"10-02",10,2,"Fall","TRASH"
"12776",23136959,2023,"Oct","10/02/2023 12:00:00 AM","Fire","DUMP - Dumpster Fire","00-1603","AFD","3F","4","(-97.714752,30.333989)",2023-10-02,"10-02",10,2,"Fall","DUMP"
"12777",23136988,2023,"Oct","10/02/2023 12:00:00 AM","Fire","AUTO - Auto Fire","05-4601","AFD","2F","-","(-97.869299,30.156972)",2023-10-02,"10-02",10,2,"Fall","AUTO"
"12778",23137052,2023,"Oct","10/02/2023 12:00:00 AM","Fire","TRASH - Trash Fire","00-1707","AFD","3F","3","(-97.752136,30.225384)",2023-10-02,"10-02",10,2,"Fall","TRASH"
"12779",23137077,2023,"Oct","10/02/2023 12:00:00 AM","Fire","AUTO - Auto Fire","00-3502","AFD","2F","3","(-97.746287,30.224910)",2023-10-02,"10-02",10,2,"Fall","AUTO"
"12780",23137082,2023,"Oct","10/02/2023 12:00:00 AM","Fire","GRASS - Small Grass Fire","00-4901","AFD","3F","5","(-97.803974,30.145664)",2023-10-02,"10-02",10,2,"Fall","GRASS"
"12781",23137143,2023,"Oct","10/02/2023 12:00:00 AM","Fire","AUTO - Auto Fire","00-4203","AFD","2F","2","(-97.646610,30.180613)",2023-10-02,"10-02",10,2,"Fall","AUTO"
"12782",23137156,2023,"Oct","10/02/2023 12:00:00 AM","Fire","TRASH - Trash Fire","00-1804","AFD","3F","4","(-97.694439,30.325791)",2023-10-02,"10-02",10,2,"Fall","TRASH"
"12783",23137161,2023,"Oct","10/02/2023 12:00:00 AM","Fire","TRASH - Trash Fire","00-1903","AFD","3F","10","(-97.755693,30.350080)",2023-10-02,"10-02",10,2,"Fall","TRASH"
"12784",23137181,2023,"Oct","10/02/2023 12:00:00 AM","Fire","TRASH - Trash Fire","00-3005","AFD","3F","4","(-97.692406,30.371147)",2023-10-02,"10-02",10,2,"Fall","TRASH"
"12785",23137186,2023,"Oct","10/02/2023 12:00:00 AM","Fire","BOX -Structure Fire","00-2006","AFD","1F","2","(-97.793427,30.198641)",2023-10-02,"10-02",10,2,"Fall","BOX"
"12786",23137249,2023,"Oct","10/02/2023 12:00:00 AM","Fire","TRASH - Trash Fire","00-1703","AFD","3F","5","(-97.777350,30.223081)",2023-10-02,"10-02",10,2,"Fall","TRASH"
"12787",23137251,2023,"Oct","10/02/2023 12:00:00 AM","Fire","TRASH - Trash Fire","00-1702","AFD","3F","2","(-97.779018,30.211820)",2023-10-02,"10-02",10,2,"Fall","TRASH"
"12788",23137317,2023,"Oct","10/03/2023 12:00:00 AM","Fire","GRASS - Small Grass Fire","00-1805","AFD","3F","1","(-97.686528,30.332188)",2023-10-03,"10-03",10,3,"Fall","GRASS"
"12789",23137368,2023,"Oct","10/03/2023 12:00:00 AM","Fire","TRASH - Trash Fire","00-1801","AFD","3F","1","(-97.678510,30.323619)",2023-10-03,"10-03",10,3,"Fall","TRASH"
"12790",23137392,2023,"Oct","10/03/2023 12:00:00 AM","Fire","GRASS - Small Grass Fire","00-1603","AFD","3F","4","(-97.713379,30.321429)",2023-10-03,"10-03",10,3,"Fall","GRASS"
"12791",23137412,2023,"Oct","10/03/2023 12:00:00 AM","Fire","TRASH - Trash Fire","00-0804","AFD","3F","7","(-97.723353,30.353476)",2023-10-03,"10-03",10,3,"Fall","TRASH"
"12792",23137423,2023,"Oct","10/03/2023 12:00:00 AM","Fire","GRASS - Small Grass Fire","00-2202","AFD","3F","3","(-97.722074,30.244318)",2023-10-03,"10-03",10,3,"Fall","GRASS"
"12793",23137436,2023,"Oct","10/03/2023 12:00:00 AM","Fire","ELEC - Electrical Fire","00-3605","AFD","3F","5","(-97.814539,30.174974)",2023-10-03,"10-03",10,3,"Fall","ELEC"
"12794",23137475,2023,"Oct","10/03/2023 12:00:00 AM","Fire","ELEC - Electrical Fire","00-4504","AFD","3F","6","(-97.781351,30.499342)",2023-10-03,"10-03",10,3,"Fall","ELEC"
"12795",23137477,2023,"Oct","10/03/2023 12:00:00 AM","Fire","BOXS - Still Box Alarm","00-2801","AFD","1F","7","(-97.688404,30.415199)",2023-10-03,"10-03",10,3,"Fall","BOXS"
"12796",23137501,2023,"Oct","10/03/2023 12:00:00 AM","Fire","BBQ - Unsafe Cooking","00-2004","AFD","4F","5","(-97.801517,30.212696)",2023-10-03,"10-03",10,3,"Fall","BBQ"
"12797",23137547,2023,"Oct","10/03/2023 12:00:00 AM","Fire","GRASS - Small Grass Fire","00-5105","AFD","3F","8","(-97.804239,30.254449)",2023-10-03,"10-03",10,3,"Fall","GRASS"
"12798",23137548,2023,"Oct","10/03/2023 12:00:00 AM","Fire","GRASS - Small Grass Fire","00-0807","AFD","3F","7","(-97.734910,30.390237)",2023-10-03,"10-03",10,3,"Fall","GRASS"
"12799",23137614,2023,"Oct","10/03/2023 12:00:00 AM","Fire","TRASH - Trash Fire","00-4901","AFD","3F","5","(-97.801394,30.152208)",2023-10-03,"10-03",10,3,"Fall","TRASH"
"12800",23137618,2023,"Oct","10/03/2023 12:00:00 AM","Fire","GRASS - Small Grass Fire","00-5101","AFD","3F","8","(-97.831859,30.236446)",2023-10-03,"10-03",10,3,"Fall","GRASS"
"12801",23137619,2023,"Oct","10/03/2023 12:00:00 AM","Fire","GRASS - Small Grass Fire","SV-5107","AFD","3F","-","(-97.809525,30.232480)",2023-10-03,"10-03",10,3,"Fall","GRASS"
"12802",23137651,2023,"Oct","10/03/2023 12:00:00 AM","Fire","BOX -Structure Fire","00-0501","AFD","1F","3","(-97.686866,30.269133)",2023-10-03,"10-03",10,3,"Fall","BOX"
"12803",23137681,2023,"Oct","10/03/2023 12:00:00 AM","Fire","TRASH - Trash Fire","00-0102","AFD","3F","9","(-97.749462,30.266819)",2023-10-03,"10-03",10,3,"Fall","TRASH"
"12804",23137698,2023,"Oct","10/03/2023 12:00:00 AM","Fire","TRASH - Trash Fire","00-0803","AFD","3F","4","(-97.712966,30.349774)",2023-10-03,"10-03",10,3,"Fall","TRASH"
"12805",23137702,2023,"Oct","10/03/2023 12:00:00 AM","Fire","AUTO - Auto Fire","00-3404","AFD","2F","6","(-97.797512,30.471283)",2023-10-03,"10-03",10,3,"Fall","AUTO"
"12806",23137743,2023,"Oct","10/03/2023 12:00:00 AM","Fire","DUMP - Dumpster Fire","00-0803","AFD","3F","4","(-97.715041,30.355559)",2023-10-03,"10-03",10,3,"Fall","DUMP"
"12807",23137783,2023,"Oct","10/03/2023 12:00:00 AM","Fire","GRASS - Small Grass Fire","00-2002","AFD","3F","5","(-97.806922,30.202813)",2023-10-03,"10-03",10,3,"Fall","GRASS"
"12808",23137787,2023,"Oct","10/03/2023 12:00:00 AM","Fire","AUTO - Auto Fire","00-2601","AFD","2F","1","(-97.625372,30.299770)",2023-10-03,"10-03",10,3,"Fall","AUTO"
"12809",23137794,2023,"Oct","10/04/2023 12:00:00 AM","Fire","BOX -Structure Fire","04-2604","AFD","1F","-","(-97.631912,30.271367)",2023-10-04,"10-04",10,4,"Fall","BOX"
"12810",23137829,2023,"Oct","10/04/2023 12:00:00 AM","Fire","TRASH - Trash Fire","00-2202","AFD","3F","3","(-97.722038,30.234912)",2023-10-04,"10-04",10,4,"Fall","TRASH"
"12811",23137835,2023,"Oct","10/04/2023 12:00:00 AM","Fire","TRASH - Trash Fire","00-2204","AFD","3F","3","(-97.720200,30.232368)",2023-10-04,"10-04",10,4,"Fall","TRASH"
"12812",23137844,2023,"Oct","10/04/2023 12:00:00 AM","Fire","BOXL- Structure Fire","00-1706","AFD","1F","3","(-97.764403,30.226901)",2023-10-04,"10-04",10,4,"Fall","BOXL"
"12813",23137850,2023,"Oct","10/04/2023 12:00:00 AM","Fire","BOXS - Still Box Alarm","00-1604","AFD","1F","4","(-97.718670,30.328075)",2023-10-04,"10-04",10,4,"Fall","BOXS"
"12814",23138039,2023,"Oct","10/04/2023 12:00:00 AM","Fire","BOX -Structure Fire","00-3606","AFD","1F","2","(-97.790241,30.195440)",2023-10-04,"10-04",10,4,"Fall","BOX"
"12815",23138186,2023,"Oct","10/04/2023 12:00:00 AM","Fire","AUTO - Auto Fire","00-2805","AFD","2F","7","(-97.718714,30.407357)",2023-10-04,"10-04",10,4,"Fall","AUTO"
"12816",23138197,2023,"Oct","10/04/2023 12:00:00 AM","Fire","BOX -Structure Fire","00-1901","AFD","1F","10","(-97.758723,30.337084)",2023-10-04,"10-04",10,4,"Fall","BOX"
